,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
69,weepinbell,95,196,202,179,160,154
42,oddish,95,196,202,179,160,154
44,vileplume,95,196,202,179,160,154
43,gloom,95,196,202,179,160,154
356,tropius,123,197,173,178,177,138
188,jumpluff,123,197,173,178,177,138
187,skiploom,123,197,173,178,177,138
186,hoppip,123,197,173,178,177,138
471,gliscor,97,332,64,175,225,93
206,gligar,97,332,64,175,225,93
353,banette,68,332,93,173,288,32
354,duskull,68,332,93,173,288,32
476,dusknoir,68,332,93,173,288,32
355,dusclops,68,332,93,173,288,32
199,misdreavus,68,332,93,173,288,32
428,mismagius,68,332,93,173,288,32
352,shuppet,68,332,93,173,288,32
227,houndour,148,167,178,172,181,140
228,houndoom,148,167,178,172,181,140
399,bibarel,63,244,186,168,235,90
434,skuntank,73,260,160,161,259,73
433,stunky,73,260,160,161,259,73
451,drapion,73,260,160,161,259,73
337,solrock,157,211,125,160,139,194
336,lunatone,157,211,125,160,139,194
330,cacnea,111,188,194,159,196,138
153,meganium,111,188,194,159,196,138
272,seedot,111,188,194,159,196,138
253,sceptile,111,188,194,159,196,138
181,bellossom,111,188,194,159,196,138
151,chikorita,111,188,194,159,196,138
464,tangrowth,111,188,194,159,196,138
248,lugia,130,223,140,159,230,104
419,cherubi,111,188,194,159,196,138
420,cherrim,111,188,194,159,196,138
252,grovyle,111,188,194,159,196,138
190,sunkern,111,188,194,159,196,138
152,bayleef,111,188,194,159,196,138
454,carnivine,111,188,194,159,196,138
191,sunflora,111,188,194,159,196,138
386,turtwig,111,188,194,159,196,138
176,natu,130,223,140,159,230,104
113,tangela,111,188,194,159,196,138
469,leafeon,111,188,194,159,196,138
284,shroomish,111,188,194,159,196,138
491,shaymin,111,188,194,159,196,138
177,xatu,130,223,140,159,230,104
387,grotle,111,188,194,159,196,138
251,treecko,111,188,194,159,196,138
118,seaking,84,269,140,157,263,73
119,staryu,84,269,140,157,263,73
117,goldeen,84,269,140,157,263,73
185,politoed,84,269,140,157,263,73
184,sudowoodo,130,288,75,157,148,188
7,wartortle,84,269,140,157,263,73
59,poliwag,84,269,140,157,263,73
60,poliwhirl,84,269,140,157,263,73
244,suicune,84,269,140,157,263,73
456,lumineon,84,269,140,157,263,73
455,finneon,84,269,140,157,263,73
115,horsea,84,269,140,157,263,73
489,manaphy,84,269,140,157,263,73
340,corphish,84,269,140,157,263,73
54,golduck,84,269,140,157,263,73
437,bonsly,130,288,75,157,148,188
282,surskit,87,191,215,157,245,91
222,remoraid,84,269,140,157,263,73
223,octillery,84,269,140,157,263,73
116,seadra,84,269,140,157,263,73
349,milotic,84,269,140,157,263,73
85,seel,84,269,140,157,263,73
97,krabby,84,269,140,157,263,73
393,prinplup,84,269,140,157,263,73
128,magikarp,84,269,140,157,263,73
348,feebas,84,269,140,157,263,73
418,floatzel,84,269,140,157,263,73
298,nosepass,130,288,75,157,148,188
320,wailord,84,269,140,157,263,73
98,kingler,84,269,140,157,263,73
408,rampardos,130,288,75,157,148,188
376,regirock,130,288,75,157,148,188
365,clamperl,84,269,140,157,263,73
367,gorebyss,84,269,140,157,263,73
8,blastoise,84,269,140,157,263,73
6,squirtle,84,269,140,157,263,73
366,huntail,84,269,140,157,263,73
407,cranidos,130,288,75,157,148,188
89,shellder,84,269,140,157,263,73
157,totodile,84,269,140,157,263,73
392,piplup,84,269,140,157,263,73
319,wailmer,84,269,140,157,263,73
369,luvdisc,84,269,140,157,263,73
488,phione,84,269,140,157,263,73
158,croconaw,84,269,140,157,263,73
417,buizel,84,269,140,157,263,73
53,psyduck,84,269,140,157,263,73
257,mudkip,84,269,140,157,263,73
421,shellos,84,269,140,157,263,73
133,vaporeon,84,269,140,157,263,73
381,kyogre,84,269,140,157,263,73
159,feraligatr,84,269,140,157,263,73
453,toxicroak,111,170,212,156,215,122
452,croagunk,111,170,212,156,215,122
322,camerupt,108,234,151,155,215,123
321,numel,108,234,151,155,215,123
104,marowak,108,234,151,155,215,123
440,chatot,111,284,98,152,273,68
16,pidgeotto,111,284,98,152,273,68
15,pidgey,111,284,98,152,273,68
276,swellow,111,284,98,152,273,68
332,swablu,111,284,98,152,273,68
396,staravia,111,284,98,152,273,68
17,pidgeot,111,284,98,152,273,68
275,taillow,111,284,98,152,273,68
163,noctowl,111,284,98,152,273,68
21,fearow,111,284,98,152,273,68
395,starly,111,284,98,152,273,68
83,doduo,111,284,98,152,273,68
213,heracross,145,151,197,152,200,141
82,farfetch'd,111,284,98,152,273,68
397,staraptor,111,284,98,152,273,68
20,spearow,111,284,98,152,273,68
162,hoothoot,111,284,98,152,273,68
84,dodrio,111,284,98,152,273,68
194,quagsire,138,156,199,149,289,55
422,gastrodon,138,156,199,149,289,55
258,marshtomp,138,156,199,149,289,55
259,swampert,138,156,199,149,289,55
193,wooper,138,156,199,149,289,55
339,whiscash,138,156,199,149,289,55
338,barboach,138,156,199,149,289,55
164,ledyba,118,191,184,148,209,136
391,infernape,136,129,228,148,162,183
266,beautifly,118,191,184,148,209,136
468,yanmega,118,191,184,148,209,136
165,ledian,118,191,184,148,209,136
122,scyther,118,191,184,148,209,136
256,blaziken,136,129,228,148,162,183
255,combusken,136,129,228,148,162,183
11,butterfree,118,191,184,148,209,136
192,yanma,118,191,184,148,209,136
290,ninjask,118,191,184,148,209,136
458,snover,61,281,151,148,173,172
414,combee,118,191,184,148,209,136
283,masquerain,118,191,184,148,209,136
415,vespiquen,118,191,184,148,209,136
413,mothim,118,191,184,148,209,136
390,monferno,136,129,228,148,162,183
459,abomasnow,61,281,151,148,173,172
483,palkia,81,251,161,147,313,33
269,lotad,67,243,183,147,228,118
270,lombre,67,243,183,147,228,118
271,ludicolo,67,243,183,147,228,118
229,kingdra,81,251,161,147,313,33
328,vibrava,129,227,137,146,282,65
329,flygon,129,227,137,146,282,65
444,garchomp,129,227,137,146,282,65
442,gible,129,227,137,146,282,65
443,gabite,129,227,137,146,282,65
57,growlithe,118,228,147,141,232,120
323,torkoal,118,228,147,141,232,120
389,chimchar,118,228,147,141,232,120
58,arcanine,118,228,147,141,232,120
156,typhlosion,118,228,147,141,232,120
154,cyndaquil,118,228,147,141,232,120
466,magmortar,118,228,147,141,232,120
77,rapidash,118,228,147,141,232,120
76,ponyta,118,228,147,141,232,120
135,flareon,118,228,147,141,232,120
217,slugma,118,228,147,141,232,120
4,charmeleon,118,228,147,141,232,120
125,magmar,118,228,147,141,232,120
3,charmander,118,228,147,141,232,120
239,magby,118,228,147,141,232,120
243,entei,118,228,147,141,232,120
254,torchic,118,228,147,141,232,120
155,quilava,118,228,147,141,232,120
224,delibird,168,165,160,135,260,98
143,articuno,168,165,160,135,260,98
343,claydol,141,171,181,132,182,179
342,baltoy,141,171,181,132,182,179
30,nidoqueen,67,253,173,130,206,157
33,nidoking,67,253,173,130,206,157
166,spinarak,91,182,220,125,216,152
167,ariados,91,182,220,125,216,152
268,dustox,91,182,220,125,216,152
12,weedle,91,182,220,125,216,152
47,venonat,91,182,220,125,216,152
450,skorupi,91,182,220,125,216,152
13,kakuna,91,182,220,125,216,152
14,beedrill,91,182,220,125,216,152
48,venomoth,91,182,220,125,216,152
316,swalot,59,293,141,121,288,84
109,weezing,59,293,141,121,288,84
335,seviper,59,293,141,121,288,84
28,nidoran♀,59,293,141,121,288,84
29,nidorina,59,293,141,121,288,84
315,gulpin,59,293,141,121,288,84
32,nidorino,59,293,141,121,288,84
88,muk,59,293,141,121,288,84
108,koffing,59,293,141,121,288,84
87,grimer,59,293,141,121,288,84
22,ekans,59,293,141,121,288,84
31,nidoran♂,59,293,141,121,288,84
23,arbok,59,293,141,121,288,84
212,shuckle,136,224,133,118,238,137
346,anorith,136,224,133,118,238,137
347,armaldo,136,224,133,118,238,137
289,nincada,121,232,140,118,208,167
460,weavile,161,175,157,111,238,144
214,sneasel,161,175,157,111,238,144
180,ampharos,126,240,127,109,340,44
178,mareep,126,240,127,109,340,44
179,flaaffy,126,240,127,109,340,44
171,pichu,126,240,127,109,340,44
465,electivire,126,240,127,109,340,44
99,voltorb,126,240,127,109,340,44
100,electrode,126,240,127,109,340,44
134,jolteon,126,240,127,109,340,44
124,electabuzz,126,240,127,109,340,44
238,elekid,126,240,127,109,340,44
242,raikou,126,240,127,109,340,44
402,shinx,126,240,127,109,340,44
309,manectric,126,240,127,109,340,44
404,luxray,126,240,127,109,340,44
24,pikachu,126,240,127,109,340,44
25,raichu,126,240,127,109,340,44
416,pachirisu,126,240,127,109,340,44
403,luxio,126,240,127,109,340,44
308,electrike,126,240,127,109,340,44
310,plusle,126,240,127,109,340,44
311,minun,126,240,127,109,340,44
37,ninetales,153,202,138,108,226,159
36,vulpix,153,202,138,108,226,159
9,caterpie,86,237,170,101,286,106
400,kricketot,86,237,170,101,286,106
10,metapod,86,237,170,101,286,106
126,pinsir,86,237,170,101,286,106
401,kricketune,86,237,170,101,286,106
312,volbeat,86,237,170,101,286,106
264,wurmple,86,237,170,101,286,106
411,burmy,86,237,170,101,286,106
313,illumise,86,237,170,101,286,106
265,silcoon,86,237,170,101,286,106
203,pineco,86,237,170,101,286,106
267,cascoon,86,237,170,101,286,106
364,walrein,109,270,114,100,265,128
86,dewgong,109,270,114,100,265,128
90,cloyster,109,270,114,100,265,128
362,spheal,109,270,114,100,265,128
363,sealeo,109,270,114,100,265,128
130,lapras,109,270,114,100,265,128
209,granbull,58,340,95,98,338,57
34,clefairy,58,340,95,98,338,57
35,clefable,58,340,95,98,338,57
172,cleffa,58,340,95,98,338,57
208,snubbull,58,340,95,98,338,57
174,togepi,58,340,95,98,338,57
344,lileep,123,226,144,97,282,114
345,cradily,123,226,144,97,282,114
19,raticate,37,331,125,96,317,80
18,rattata,37,331,125,96,317,80
52,persian,37,331,125,96,317,80
51,meowth,37,331,125,96,317,80
490,darkrai,61,370,62,95,318,80
358,absol,61,370,62,95,318,80
196,umbreon,61,370,62,95,318,80
261,mightyena,61,370,62,95,318,80
260,poochyena,61,370,62,95,318,80
103,cubone,126,250,117,92,264,137
327,trapinch,126,250,117,92,264,137
230,phanpy,126,250,117,92,264,137
382,groudon,126,250,117,92,264,137
231,donphan,126,250,117,92,264,137
50,dugtrio,126,250,117,92,264,137
448,hippopotas,126,250,117,92,264,137
449,hippowdon,126,250,117,92,264,137
49,diglett,126,250,117,92,264,137
173,igglybuff,54,298,141,91,345,57
39,wigglytuff,54,298,141,91,345,57
297,azurill,54,298,141,91,345,57
38,jigglypuff,54,298,141,91,345,57
56,primeape,124,206,163,88,295,110
55,mankey,124,206,163,88,295,110
446,riolu,124,206,163,88,295,110
105,hitmonlee,124,206,163,88,295,110
235,tyrogue,124,206,163,88,295,110
67,machamp,124,206,163,88,295,110
65,machop,124,206,163,88,295,110
295,makuhita,124,206,163,88,295,110
296,hariyama,124,206,163,88,295,110
236,hitmontop,124,206,163,88,295,110
66,machoke,124,206,163,88,295,110
106,hitmonchan,124,206,163,88,295,110
388,torterra,153,192,148,87,268,138
121,mr. mime,40,333,120,86,328,79
279,ralts,40,333,120,86,328,79
281,gardevoir,40,333,120,86,328,79
280,kirlia,40,333,120,86,328,79
438,mime jr.,40,333,120,86,328,79
487,cresselia,66,332,95,74,333,86
63,kadabra,66,332,95,74,333,86
385,deoxys,66,332,95,74,333,86
432,chingling,66,332,95,74,333,86
201,wobbuffet,66,332,95,74,333,86
200,unown,66,332,95,74,333,86
357,chimecho,66,332,95,74,333,86
195,espeon,66,332,95,74,333,86
359,wynaut,66,332,95,74,333,86
480,mesprit,66,332,95,74,333,86
479,uxie,66,332,95,74,333,86
150,mew,66,332,95,74,333,86
324,spoink,66,332,95,74,333,86
481,azelf,66,332,95,74,333,86
96,hypno,66,332,95,74,333,86
62,abra,66,332,95,74,333,86
64,alakazam,66,332,95,74,333,86
95,drowzee,66,332,95,74,333,86
149,mewtwo,66,332,95,74,333,86
325,grumpig,66,332,95,74,333,86
202,girafarig,63,290,140,71,353,69
237,smoochum,159,159,175,64,275,154
123,jynx,159,159,175,64,275,154
307,medicham,116,207,170,61,335,97
220,piloswine,116,214,163,61,235,197
306,meditite,116,207,170,61,335,97
472,mamoswine,116,214,163,61,235,197
26,sandshrew,116,214,163,61,235,197
27,sandslash,116,214,163,61,235,197
474,gallade,116,207,170,61,335,97
219,swinub,116,214,163,61,235,197
470,glaceon,134,227,132,24,363,106
361,glalie,134,227,132,24,363,106
360,snorunt,134,227,132,24,363,106
377,regice,134,227,132,24,363,106
445,munchlax,0,419,74,18,450,25
398,bidoof,0,419,74,18,450,25
292,whismur,0,419,74,18,450,25
473,porygon-z,0,419,74,18,450,25
293,loudred,0,419,74,18,450,25
294,exploud,0,419,74,18,450,25
136,porygon,0,419,74,18,450,25
132,eevee,0,419,74,18,450,25
131,ditto,0,419,74,18,450,25
299,skitty,0,419,74,18,450,25
300,delcatty,0,419,74,18,450,25
326,spinda,0,419,74,18,450,25
287,vigoroth,0,419,74,18,450,25
127,tauros,0,419,74,18,450,25
334,zangoose,0,419,74,18,450,25
485,regigigas,0,419,74,18,450,25
350,castform,0,419,74,18,450,25
351,kecleon,0,419,74,18,450,25
107,lickitung,0,419,74,18,450,25
114,kangaskhan,0,419,74,18,450,25
112,chansey,0,419,74,18,450,25
288,slaking,0,419,74,18,450,25
142,snorlax,0,419,74,18,450,25
232,porygon2,0,419,74,18,450,25
286,slakoth,0,419,74,18,450,25
439,happiny,0,419,74,18,450,25
233,stantler,0,419,74,18,450,25
234,smeargle,0,419,74,18,450,25
216,ursaring,0,419,74,18,450,25
215,teddiursa,0,419,74,18,450,25
205,dunsparce,0,419,74,18,450,25
431,purugly,0,419,74,18,450,25
430,glameow,0,419,74,18,450,25
240,miltank,0,419,74,18,450,25
241,blissey,0,419,74,18,450,25
427,lopunny,0,419,74,18,450,25
189,aipom,0,419,74,18,450,25
426,buneary,0,419,74,18,450,25
462,lickilicky,0,419,74,18,450,25
161,furret,0,419,74,18,450,25
160,sentret,0,419,74,18,450,25
423,ambipom,0,419,74,18,450,25
262,zigzagoon,0,419,74,18,450,25
263,linoone,0,419,74,18,450,25
492,arceus,0,419,74,18,450,25
