,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
6,squirtle,27,79,45,49,81,21
63,kadabra,41,90,20,22,110,19
62,abra,41,90,20,22,110,19
150,mew,41,90,20,22,110,19
64,alakazam,41,90,20,22,110,19
95,drowzee,41,90,20,22,110,19
96,hypno,41,90,20,22,110,19
149,mewtwo,41,90,20,22,110,19
148,dragonite,35,91,25,80,55,16
24,pikachu,48,65,38,27,110,14
25,raichu,48,65,38,27,110,14
134,jolteon,48,65,38,27,110,14
99,voltorb,48,65,38,27,110,14
100,electrode,48,65,38,27,110,14
124,electabuzz,48,65,38,27,110,14
147,dragonair,3,141,7,63,76,12
146,dratini,3,141,7,63,76,12
144,zapdos,60,66,25,63,78,10
129,gyarados,45,63,43,73,68,10
142,snorlax,0,135,16,3,140,8
136,porygon,0,135,16,3,140,8
132,eevee,0,135,16,3,140,8
131,ditto,0,135,16,3,140,8
127,tauros,0,135,16,3,140,8
114,kangaskhan,0,135,16,3,140,8
112,chansey,0,135,16,3,140,8
107,lickitung,0,135,16,3,140,8
